"participant","between","within","correct_absolute_error_other","overall_pointing"
2001,38.7334145964332,15.6808496837235,126.5908785,28.8537439195576
2002,51.9159981835733,8.8351007247644,74.799768625,33.4527564155124
2003,47.4797020350527,40.0492994161632,104.854215,44.2952437698143
2004,55.4267782175969,21.0672522616689,46.54687625,40.7012670936277
2005,8.4516213456023,5.5481029657769,17.711164625,7.20725632567713
2006,47.8832057900918,15.2409542968533,94.8394175,33.8936694358467
2007,72.5572529946228,38.1181594903562,84.58327375,57.7976414927943
2008,28.9013515884775,11.2714427895321,114.957016,21.3456763889295
2011,69.1109552778601,12.4486488479968,103.1766455,44.8271096650615
2012,33.5418482389546,11.5695604015853,20.756635,24.1251534515106
2013,45.0564869163559,40.5497627733401,65.781685,43.1250337122063
2014,15.1052203656095,5.95524114747104,25.02702375,11.183800700693
2015,45.0779591432154,38.7603906187939,87.90974925,42.3704297756062
2016,68.5548592819122,43.5802742695709,114.03259625,57.8514657051945
2017,23.6806382624421,7.12587808873265,10.238385,16.5857410451381
2018,46.9061591112651,25.7433302700178,110.25636375,37.8363753221591
2019,25.9278984230065,13.2365401517381,24.70847625,20.4887448781772
2021,35.2973968569926,13.8750952315246,34.423988,26.1164104460777
2022,66.670799897166,15.2825597828999,90.69282,44.6472684196234
2023,87.7618675810897,96.236411467678,106.56594875,91.3938149610561
2024,53.4440794374616,28.4553419603233,71.827535,42.7346205186881
2025,5.76997089938436,4.74050454045756,8.404511825,5.32877103127287
2026,64.800994165809,30.3425263971896,108.2366175,50.0330794078293
2027,78.985617688471,81.3653644998825,50.17560625,80.0055091790759
2028,40.3010352670738,23.2154627525336,92.96082875,32.9786470465566
2029,48.3986190306628,20.2586470414429,29.94780625,36.3386310352828
2030,53.5080749860921,17.7090647462721,45.66660625,38.1656420261692
2031,57.5903400164612,41.471564103399,59.090975,50.6822931965774
2033,93.449599860095,61.1191777047817,103.258308375,79.593704650675
2034,71.151511355775,43.1157956356345,54.43646625,59.1362046185719
2035,33.2649374026846,30.6274851628558,115.89623625,32.1346007284722
2036,33.5123589051489,29.6142607328164,46.9399775,31.8417454027207
2037,28.5391474419695,18.0922800923143,38.99287,24.0619185778316
2038,17.1679791040827,13.4896402348807,24.20581375,15.591548160139
2039,54.6420633203196,53.7600269456054,114.766659625,54.2640477311564
2040,59.4899856983378,29.5122632566455,58.90677,46.642390366184
2041,15.5534988829135,7.77825420841104,15.6324825,12.2212511652696
2042,74.3064587676745,9.03409176185844,60.3392175,46.3325871937533
2043,32.2137483092203,14.9250381472174,48.60656375,24.8043010969333
2044,51.6425342339605,39.6289801233302,95.3355445,46.4938681865475
2045,65.7499267753674,52.1759184006427,90.96925,59.9324946147711
2046,43.8956595317026,37.6601619066537,26.09986125,41.2233034066817
2047,55.2284579945489,44.9007399135766,95.110274425,50.8022931027037
2048,33.2132938600186,8.33394226968279,35.17316125,22.5507146070175
2049,22.0087417767373,8.97272594152379,34.987725,16.4218778473601
2050,55.8053706207675,44.4460304398494,63.14208125,50.9370819718026
2051,74.5159582369365,38.8114039643662,117.8589624,59.2140064058349
2052,31.3301883110524,12.6287330076341,126.13024,23.3152788953017
2053,73.013151780684,66.3734406325249,108.3229535,70.1675612886158
2054,66.1969471320924,46.5600933306884,100.15507625,57.7811526457764
2056,67.8935254728416,26.645696296411,67.3014675,50.2158843972285
2057,51.1234410574538,10.3652923162185,38.9088425,33.6556630254958
2058,16.655448278996,12.2349079732331,87.19764875,14.7609310050976
2059,54.7593689343403,29.2061003909637,67.834645,43.807968130036
2060,14.2322007953495,8.43345527448289,12.28007325,11.7470241435495
2061,47.6849992765677,28.4561315714877,40.15663625,39.4440559743905
2062,50.2841846018843,48.0814078154242,103.71869875,49.3401374076871
2063,47.0575147859571,13.0358111294175,80.544031625,32.4767846474401
2064,53.9624819147748,29.1447990225914,113.77762625,43.326332103839
2065,69.4028907906557,52.4719577572331,49.84285625,62.1467766334746
2066,49.3402917965453,10.44208723802,62.4830325,32.6696327000345
2067,24.8917464309999,6.57759006704941,23.96836375,17.0428222750211
2068,15.4650424433307,4.51870901535442,22.15737875,10.7737566884837
2069,41.1072063403577,7.52074314080688,19.308365,26.7130078262645
2070,53.9737812314855,38.9162984156339,97.651271875,47.5205743104062
2072,26.4150812528288,7.2313909184626,106.872597125,18.1934996809576
2073,74.2102042815399,50.6445454716192,122.832188,64.1106362201453
2074,30.1736859763124,7.1945315254241,39.454103,20.3254769259317
2075,34.2302229561382,9.42261154777077,29.39364125,23.5983894954093
2076,44.6337074638627,32.0601956540975,67.66027875,39.2450595453919
2077,29.7003876555823,5.99515599735361,24.26470375,19.5410026591986
2078,31.6408156450494,9.79837418212715,36.167735,22.279769303797
2079,32.8898285773961,6.47050263750905,20.9383675,21.5672603174445
2080,42.0481861118287,6.67404575753546,21.1121875,26.887840245703
2083,17.6127537199927,4.12472841637066,52.23365125,11.8321714470118
2084,15.452755802652,4.46301951107422,19.32344625,10.7428688205472
